# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                | flagCoding    | flags
# Diff_TBs_Type                                                                                                                                            *
  *       | Param4_M4               | Param4_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M4                                                                                              | *             | *
  *       | Param4_sigma_M4         | Param4_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M4                                                                                        | *             | *
  *       | Param5_M4               | Param5_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M4                                                                                              | *             | *
  *       | Param5_sigma_M4         | Param5_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M4                                                                                        | *             | *
  *       | Param6_M4               | Param6_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M4                                                                                              | *             | *
  *       | Param6_sigma_M4         | Param6_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M4                                                                                        | *             | *
  *       | Param7_M4               | Param7_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M4                                                                                              | *             | *
  *       | Param7_sigma_M4         | Param7_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M4                                                                                        | *             | *
#
  *       | Param1_prior_M1         | Param1_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M1                                                                                        | *             | *
  *       | Param1_sigma_prior_M1   | Param1_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M1                                                                                  | *             | *
  *       | Param2_prior_M1         | Param2_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M1                                                                                        | *             | *
  *       | Param2_sigma_prior_M1   | Param2_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M1                                                                                  | *             | *
  *       | Param3_prior_M1         | Param3_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M1                                                                                        | *             | *
  *       | Param3_sigma_prior_M1   | Param3_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M1                                                                                  | *             | *
  *       | Param4_prior_M1         | Param4_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M1                                                                                        | *             | *
  *       | Param4_sigma_prior_M1   | Param4_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M1                                                                                  | *             | *
  *       | Param5_prior_M1         | Param5_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M1                                                                                        | *             | *
  *       | Param5_sigma_prior_M1   | Param5_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M1                                                                                  | *             | *
  *       | Param6_sigma_prior_M1   | Param6_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M1                                                                                  | *             | *
  *       | Param6_prior_M1         | Param6_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M1                                                                                        | *             | *
  *       | Param7_prior_M1         | Param7_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M1                                                                                        | *             | *
  *       | Param7_sigma_prior_M1   | Param7_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M1                                                                                  | *             | *
  *       | Param1_prior_M2         | Param1_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M2                                                                                        | *             | *
  *       | Param1_sigma_prior_M2   | Param1_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M2                                                                                  | *             | *
  *       | Param2_prior_M2         | Param2_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M2                                                                                        | *             | *
  *       | Param2_sigma_prior_M2   | Param2_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M2                                                                                  | *             | *
  *       | Param3_prior_M2         | Param3_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M2                                                                                        | *             | *
  *       | Param3_sigma_prior_M2   | Param3_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M2                                                                                  | *             | *
  *       | Param4_prior_M2         | Param4_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M2                                                                                        | *             | *
  *       | Param4_sigma_prior_M2   | Param4_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M2                                                                                  | *             | *
  *       | Param5_prior_M2         | Param5_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M2                                                                                        | *             | *
  *       | Param5_sigma_prior_M2   | Param5_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M2                                                                                  | *             | *
  *       | Param6_prior_M2         | Param6_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M2                                                                                        | *             | *
  *       | Param6_sigma_prior_M2   | Param6_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M2                                                                                  | *             | *
  *       | Param7_prior_M2         | Param7_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M2                                                                                        | *             | *
  *       | Param7_sigma_prior_M2   | Param7_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M2                                                                                  | *             | *
  *       | Param1_prior_M3         | Param1_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M3                                                                                        | *             | *
  *       | Param1_sigma_prior_M3   | Param1_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M3                                                                                  | *             | *
  *       | Param2_prior_M3         | Param2_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M3                                                                                        | *             | *
  *       | Param2_sigma_prior_M3   | Param2_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M3                                                                                  | *             | *
  *       | Param3_prior_M3         | Param3_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M3                                                                                        | *             | *
  *       | Param3_sigma_prior_M3   | Param3_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M3                                                                                  | *             | *
  *       | Param4_prior_M3         | Param4_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M3                                                                                        | *             | *
  *       | Param4_sigma_prior_M3   | Param4_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M3                                                                                  | *             | *
  *       | Param5_prior_M3         | Param5_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M3                                                                                        | *             | *
  *       | Param5_sigma_prior_M3   | Param5_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M3                                                                                  | *             | *
  *       | Param6_prior_M3         | Param6_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M3                                                                                        | *             | *
  *       | Param6_sigma_prior_M3   | Param6_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M3                                                                                  | *             | *
  *       | Param7_prior_M3         | Param7_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M3                                                                                        | *             | *
  *       | Param7_sigma_prior_M3   | Param7_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M3                                                                                  | *             | *
  *       | Param1_prior_M4         | Param1_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M4                                                                                        | *             | *
  *       | Param1_sigma_prior_M4   | Param1_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M4                                                                                  | *             | *
  *       | Param2_prior_M4         | Param2_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M4                                                                                        | *             | *
  *       | Param2_sigma_prior_M4   | Param2_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M4                                                                                  | *             | *
